H	T	d	Uc	L
4.01	3.77	39.91	1.04	30.7266
5.12	3.79	37.43	1.86	36.6772
1.48	3.86	34.83	1.59	34.7728
1.72	3.87	36.47	-1.1	14.5028
1.58	3.91	27.24	1.26	33.586
5.05	3.95	42.05	2.12	40.6901
2.94	3.99	26.74	1.14	34.8991
2.64	4.04	44.18	0.57	31.2688
2.31	4.05	26.71	0.09	28.163
3.99	4.1	31.9	1.37	37.4979
3.18	4.14	17.34	-0.52	24.2099
3.77	4.2	48.29	0.47	32.4484
2.99	4.21	34.72	1.93	43.8057
1.89	4.25	19.97	-0.5	25.0906
3.72	4.3	28.55	0.03	30.3657
5.15	4.44	34.62	1.33	43.0094
3.46	4.48	27.53	0.42	35.7961
2.26	4.53	29.56	2.28	51.1803
2.47	4.54	32.62	1.13	42.8263
5.86	4.55	39.95	1.95	49.7521
4.37	4.61	34.36	2.03	52.5421
4.3	4.64	49.3	-0.55	30.6351
2.42	4.65	30.91	2.08	52.0585
1.42	4.67	42.77	0.78	41.3246
5.37	4.69	29.76	0.57	41.128
3.75	4.7	15.63	-0.83	28.4526
4.17	4.71	47.03	0.24	37.9714
5.22	4.74	34.13	0.1	38.3866
3.65	4.75	47.76	0.72	43.7301
6	4.77	27.49	1.3	48.6692
2.94	4.79	38.88	-1.45	21.2447
5.16	4.81	38.93	1	46.5549
7.15	4.82	27.75	1.52	52.8635
5.78	4.85	40.85	2.24	57.3827
2.14	4.88	39.33	-0.97	28.4826
5.6	4.93	43.56	1.28	51.2271
1.18	4.96	21.99	-1.08	27.354
1.21	4.99	22.4	0.21	41.1747
5.67	5.04	35.63	0.62	47.211
3.88	5.04	44.93	-0.12	39.577
3.37	5.08	20.88	-0.54	37.0283
4.35	5.12	42.88	-0.44	38.1651
5.52	5.14	27.54	0.51	47.8011
1.73	5.19	26.28	-1.68	22.4132
3.66	5.2	32.52	0.21	46.8517
3.26	5.21	41.76	1.18	55.4304
3.85	5.23	47.91	-1.04	32.5626
1.94	5.29	37.31	1.56	59.5608
6.22	5.31	38.17	1.7	62.7194
6.55	5.35	28.35	-0.08	47.2639
5.54	5.36	47.32	2.34	69.8525
5.38	5.38	46.86	0.61	52.8074
4.49	5.4	29.54	-0.85	37.6893
4.1	5.41	45.71	1.13	59.5566
8.38	5.42	44.22	2.05	68.5091
6.3	5.43	25.27	-0.25	46.5597
4.23	5.45	34.25	0.17	50.4988
1.23	5.51	28.43	-1.48	29.566
6.71	5.53	44.66	0.54	56.1879
5.25	5.55	39.95	0.88	60.4886
3.9	5.57	43.71	1.55	66.1535
4.72	5.59	43.05	-0.54	44.1126
3.25	5.62	49.61	-1.92	25.4783
5.1	5.63	28.06	-0.44	46.3225
3.16	5.65	40.41	1.52	66.959
2.78	5.7	43.58	1.32	65.8111
2.68	5.74	49.68	-0.68	45.0563
4.78	5.77	26.8	-0.71	45.051
